processed
-1310.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1282.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1310.0 130.0 0.0 0.0 0.0 1.0 0.0 	-1282.0 130.0 0.0 0.0 0.0 1.0 0.0  1
-968.0 182.0 0.0 0.0 0.0 1.0 0.0 	-956.0 182.0 0.0 0.0 0.0 1.0 0.0 	-968.0 194.0 0.0 0.0 0.0 1.0 0.0 	-956.0 194.0 0.0 0.0 0.0 1.0 0.0  1
-878.0 976.0 0.0 0.0 0.0 1.0 0.0 	-578.0 976.0 0.0 0.0 0.0 1.0 0.0 	-878.0 1042.0 0.0 0.0 0.0 1.0 0.0 	-578.0 1042.0 0.0 0.0 0.0 1.0 0.0  3
-1206.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1172.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1206.0 120.0 0.0 0.0 0.0 1.0 0.0 	-1172.0 120.0 0.0 0.0 0.0 1.0 0.0  1
-1556.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1310.0 114.0 0.0 0.0 0.0 1.0 0.0 	-1556.0 292.0 0.0 0.0 0.0 1.0 0.0 	-1310.0 292.0 0.0 0.0 0.0 1.0 0.0  3
-878.0 1562.0 0.0 0.0 0.0 1.0 0.0 	-578.0 1562.0 0.0 0.0 0.0 1.0 0.0 	-878.0 1990.0 0.0 0.0 0.0 1.0 0.0 	-578.0 1990.0 0.0 0.0 0.0 1.0 0.0  3
-3000.0 -3000.0 0.0 0.0 0.0 1.0 0.0 	200.0 -3000.0 0.0 0.0 0.0 1.0 0.0 	-3000.0 -177.818 0.0 0.0 0.0 1.0 0.0 	200.0 -177.818 0.0 0.0 0.0 1.0 0.0  1
-1864.0 1334.0 0.0 0.0 0.0 1.0 0.0 	-1546.0 1334.0 0.0 0.0 0.0 1.0 0.0 	-1864.0 1346.0 0.0 0.0 0.0 1.0 0.0 	-1546.0 1346.0 0.0 0.0 0.0 1.0 0.0  3
-1998.0 1484.0 0.0 0.0 0.0 1.0 0.0 	-1896.0 1484.0 0.0 0.0 0.0 1.0 0.0 	-1998.0 1718.0 0.0 0.0 0.0 1.0 0.0 	-1896.0 1718.0 0.0 0.0 0.0 1.0 0.0  3
-1766.0 1822.0 0.0 0.0 0.0 1.0 0.0 	-1522.0 1822.0 0.0 0.0 0.0 1.0 0.0 	-1766.0 1880.0 0.0 0.0 0.0 1.0 0.0 	-1522.0 1880.0 0.0 0.0 0.0 1.0 0.0  3
