################################################
###### (C) COPYRIGHT 2012 - GTA UNITED    ######
################################################
processed
-1310.0 114.0 0.0 0.0 0.0 1.0 0.0	-1282.0 114.0 0.0 0.0 0.0 1.0 0.0	-1310.0 130.0 0.0 0.0 0.0 1.0 0.0	-1282.0 130.0 0.0 0.0 0.0 1.0 0.0  1
-900.0 858.0 0.0 0.0 0.0 1.0 0.0	-790.0 858.0 0.0 0.0 0.0 1.0 0.0	-900.0 976.0 0.0 0.0 0.0 1.0 0.0	-790.0 976.0 0.0 0.0 0.0 1.0 0.0  3
-968.0 182.0 0.0 0.0 0.0 1.0 0.0	-956.0 182.0 0.0 0.0 0.0 1.0 0.0	-968.0 194.0 0.0 0.0 0.0 1.0 0.0	-956.0 194.0 0.0 0.0 0.0 1.0 0.0  1
-806.0 976.0 0.0 0.0 0.0 1.0 0.0	-578.0 976.0 0.0 0.0 0.0 1.0 0.0	-806.0 1042.0 0.0 0.0 0.0 1.0 0.0	-578.0 1042.0 0.0 0.0 0.0 1.0 0.0  3
-1206.0 114.0 0.0 0.0 0.0 1.0 0.0	-1172.0 114.0 0.0 0.0 0.0 1.0 0.0	-1206.0 120.0 0.0 0.0 0.0 1.0 0.0	-1172.0 120.0 0.0 0.0 0.0 1.0 0.0  1
200.0 450.0 0.0 0.0 0.0 1.0 0.0	3000.0 450.0 0.0 0.0 0.0 1.0 0.0	200.0 644.0 0.0 0.0 0.0 1.0 0.0	3000.0 644.0 0.0 0.0 0.0 1.0 0.0  1
-1062.0 114.0 0.0 0.0 0.0 1.0 0.0	-1034.0 114.0 0.0 0.0 0.0 1.0 0.0	-1062.0 134.0 0.0 0.0 0.0 1.0 0.0	-1034.0 134.0 0.0 0.0 0.0 1.0 0.0  1
-1556.0 114.0 0.0 0.0 0.0 1.0 0.0	-1310.0 114.0 0.0 0.0 0.0 1.0 0.0	-1556.0 292.0 0.0 0.0 0.0 1.0 0.0	-1310.0 292.0 0.0 0.0 0.0 1.0 0.0  3
-3000.0 -3000.0 0.0 0.0 0.0 1.0 0.0	3000.0 -3000.0 0.0 0.0 0.0 1.0 0.0	-3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0	3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0  1
-878.0 1562.0 0.0 0.0 0.0 1.0 0.0	-578.0 1562.0 0.0 0.0 0.0 1.0 0.0	-878.0 1990.0 0.0 0.0 0.0 1.0 0.0	-578.0 1990.0 0.0 0.0 0.0 1.0 0.0  3
-3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0	200.0 -2540.0 0.0 0.0 0.0 1.0 0.0	-3000.0 -1000.0 0.0 0.0 0.0 1.0 0.0	200.0 -1000.0 0.0 0.0 0.0 1.0 0.0  1
-1864.0 1334.0 0.0 0.0 0.0 1.0 0.0	-1546.0 1334.0 0.0 0.0 0.0 1.0 0.0	-1864.0 1346.0 0.0 0.0 0.0 1.0 0.0	-1546.0 1346.0 0.0 0.0 0.0 1.0 0.0  3
1734.0 190.0 0.0 0.0 0.0 1.0 0.0	2900.0 190.0 0.0 0.0 0.0 1.0 0.0	1734.0 450.0 0.0 0.0 0.0 1.0 0.0	2900.0 450.0 0.0 0.0 0.0 1.0 0.0  1
-1998.0 1484.0 0.0 0.0 0.0 1.0 0.0	-1896.0 1484.0 0.0 0.0 0.0 1.0 0.0	-1998.0 1718.0 0.0 0.0 0.0 1.0 0.0	-1896.0 1718.0 0.0 0.0 0.0 1.0 0.0  3
200.0 290.0 0.0 0.0 0.0 1.0 0.0	414.0 290.0 0.0 0.0 0.0 1.0 0.0	200.0 450.0 0.0 0.0 0.0 1.0 0.0	414.0 450.0 0.0 0.0 0.0 1.0 0.0  1
-1688.0 602.0 0.0 0.0 0.0 1.0 0.0	-1518.0 602.0 0.0 0.0 0.0 1.0 0.0	-1688.0 764.0 0.0 0.0 0.0 1.0 0.0	-1518.0 764.0 0.0 0.0 0.0 1.0 0.0  3
200.0 -1030.0 0.0 0.0 0.0 1.0 0.0	980.0 -1030.0 0.0 0.0 0.0 1.0 0.0	200.0 290.0 0.0 0.0 0.0 1.0 0.0	980.0 290.0 0.0 0.0 0.0 1.0 0.0  1
-1848.0 752.0 0.0 0.0 0.0 1.0 0.0	-1688.0 752.0 0.0 0.0 0.0 1.0 0.0	-1848.0 764.0 0.0 0.0 0.0 1.0 0.0	-1688.0 764.0 0.0 0.0 0.0 1.0 0.0  3
420.0 -1470.0 0.0 0.0 0.0 1.0 0.0	800.0 -1470.0 0.0 0.0 0.0 1.0 0.0	420.0 -1030.0 0.0 0.0 0.0 1.0 0.0	800.0 -1030.0 0.0 0.0 0.0 1.0 0.0  1
-1766.0 1822.0 0.0 0.0 0.0 1.0 0.0	-1522.0 1822.0 0.0 0.0 0.0 1.0 0.0	-1766.0 1880.0 0.0 0.0 0.0 1.0 0.0	-1522.0 1880.0 0.0 0.0 0.0 1.0 0.0  3
2080.0 -70.0 0.0 0.0 0.0 1.0 0.0	2280.0 -70.0 0.0 0.0 0.0 1.0 0.0	2080.0 190.0 0.0 0.0 0.0 1.0 0.0	2280.0 190.0 0.0 0.0 0.0 1.0 0.0  1
1620.0 -70.0 0.0 0.0 0.0 1.0 0.0	1940.0 -70.0 0.0 0.0 0.0 1.0 0.0	1620.0 190.0 0.0 0.0 0.0 1.0 0.0	1940.0 190.0 0.0 0.0 0.0 1.0 0.0  1
-1896.0 1586.0 0.0 0.0 0.0 1.0 0.0	-1792.0 1586.0 0.0 0.0 0.0 1.0 0.0	-1896.0 1712.0 0.0 0.0 0.0 1.0 0.0	-1792.0 1712.0 0.0 0.0 0.0 1.0 0.0  3
1520.0 -310.0 0.0 0.0 0.0 1.0 0.0	2280.0 -310.0 0.0 0.0 0.0 1.0 0.0	1520.0 -70.0 0.0 0.0 0.0 1.0 0.0	2280.0 -70.0 0.0 0.0 0.0 1.0 0.0  1
-2250.0 2618.0 64.0 0.0 0.0 1.0 0.0	-2202.0 2618.0 64.0 0.0 0.0 1.0 0.0	-2250.0 2668.0 64.0 0.0 0.0 1.0 0.0	-2202.0 2668.0 64.0 0.0 0.0 1.0 0.0  1
2120.0 -390.0 0.0 0.0 0.0 1.0 0.0	2360.0 -390.0 0.0 0.0 0.0 1.0 0.0	2120.0 -310.0 0.0 0.0 0.0 1.0 0.0	2360.0 -310.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 678.0 0.0 0.0 0.0 1.0 0.0	-2846.0 678.0 0.0 0.0 0.0 1.0 0.0	-2976.0 736.0 0.0 0.0 0.0 1.0 0.0	-2846.0 736.0 0.0 0.0 0.0 1.0 0.0  1
2220.0 -510.0 0.0 0.0 0.0 1.0 0.0	2360.0 -510.0 0.0 0.0 0.0 1.0 0.0	2220.0 -390.0 0.0 0.0 0.0 1.0 0.0	2360.0 -390.0 0.0 0.0 0.0 1.0 0.0  1
2040.0 -630.0 0.0 0.0 0.0 1.0 0.0	2300.0 -630.0 0.0 0.0 0.0 1.0 0.0	2040.0 -510.0 0.0 0.0 0.0 1.0 0.0	2300.0 -510.0 0.0 0.0 0.0 1.0 0.0  1
2482.0 -2540.0 0.0 0.0 0.0 1.0 0.0	3000.0 -2540.0 0.0 0.0 0.0 1.0 0.0	2482.0 -570.0 0.0 0.0 0.0 1.0 0.0	3000.0 -570.0 0.0 0.0 0.0 1.0 0.0  1
2160.0 -770.0 0.0 0.0 0.0 1.0 0.0	2320.0 -770.0 0.0 0.0 0.0 1.0 0.0	2160.0 -630.0 0.0 0.0 0.0 1.0 0.0	2320.0 -630.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 1016.0 0.0 0.0 0.0 1.0 0.0	-2762.0 1016.0 0.0 0.0 0.0 1.0 0.0	-2976.0 1312.0 0.0 0.0 0.0 1.0 0.0	-2762.0 1312.0 0.0 0.0 0.0 1.0 0.0  1
1940.0 -470.0 0.0 0.0 0.0 1.0 0.0	2100.0 -470.0 0.0 0.0 0.0 1.0 0.0	1940.0 -310.0 0.0 0.0 0.0 1.0 0.0	2100.0 -310.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 1312.0 0.0 0.0 0.0 1.0 0.0	-2682.0 1312.0 0.0 0.0 0.0 1.0 0.0	-2976.0 2154.0 0.0 0.0 0.0 1.0 0.0	-2682.0 2154.0 0.0 0.0 0.0 1.0 0.0  1
1360.0 -470.0 0.0 0.0 0.0 1.0 0.0	1940.0 -470.0 0.0 0.0 0.0 1.0 0.0	1360.0 -310.0 0.0 0.0 0.0 1.0 0.0	1940.0 -310.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 2154.0 0.0 0.0 0.0 1.0 0.0	-2764.0 2154.0 0.0 0.0 0.0 1.0 0.0	-2976.0 2728.0 0.0 0.0 0.0 1.0 0.0	-2764.0 2728.0 0.0 0.0 0.0 1.0 0.0  1
2180.0 -890.0 0.0 0.0 0.0 1.0 0.0	2420.0 -890.0 0.0 0.0 0.0 1.0 0.0	2180.0 -770.0 0.0 0.0 0.0 1.0 0.0	2420.0 -770.0 0.0 0.0 0.0 1.0 0.0  1
2900.0 -570.0 0.0 0.0 0.0 1.0 0.0	3000.0 -570.0 0.0 0.0 0.0 1.0 0.0	2900.0 450.0 0.0 0.0 0.0 1.0 0.0	3000.0 450.0 0.0 0.0 0.0 1.0 0.0  1
1280.0 -890.0 0.0 0.0 0.0 1.0 0.0	1960.0 -890.0 0.0 0.0 0.0 1.0 0.0	1280.0 -470.0 0.0 0.0 0.0 1.0 0.0	1960.0 -470.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 736.0 0.0 0.0 0.0 1.0 0.0	-2872.0 736.0 0.0 0.0 0.0 1.0 0.0	-2976.0 762.0 0.0 0.0 0.0 1.0 0.0	-2872.0 762.0 0.0 0.0 0.0 1.0 0.0  1
1960.0 -630.0 0.0 0.0 0.0 1.0 0.0	2040.0 -630.0 0.0 0.0 0.0 1.0 0.0	1960.0 -470.0 0.0 0.0 0.0 1.0 0.0	2040.0 -470.0 0.0 0.0 0.0 1.0 0.0  1
-2688.0 2808.0 0.0 0.0 0.0 1.0 0.0	-2670.0 2808.0 0.0 0.0 0.0 1.0 0.0	-2688.0 2828.0 0.0 0.0 0.0 1.0 0.0	-2670.0 2828.0 0.0 0.0 0.0 1.0 0.0  1
-124.0 1842.0 0.0 0.0 0.0 1.0 0.0	190.0 1842.0 0.0 0.0 0.0 1.0 0.0	-124.0 1990.0 0.0 0.0 0.0 1.0 0.0	190.0 1990.0 0.0 0.0 0.0 1.0 0.0  1
1180.0 -1090.0 0.0 0.0 0.0 1.0 0.0	1960.0 -1090.0 0.0 0.0 0.0 1.0 0.0	1180.0 -890.0 0.0 0.0 0.0 1.0 0.0	1960.0 -890.0 0.0 0.0 0.0 1.0 0.0  1
1180.0 -1450.0 0.0 0.0 0.0 1.0 0.0	1320.0 -1450.0 0.0 0.0 0.0 1.0 0.0	1180.0 -1090.0 0.0 0.0 0.0 1.0 0.0	1320.0 -1090.0 0.0 0.0 0.0 1.0 0.0  1
-2872.0 736.0 0.0 0.0 0.0 1.0 0.0	-2846.0 736.0 0.0 0.0 0.0 1.0 0.0	-2872.0 762.0 0.0 0.0 0.0 1.0 0.0	-2846.0 762.0 0.0 0.0 0.0 1.0 0.0  1
62.0 1806.0 0.0 0.0 0.0 1.0 0.0	190.0 1806.0 0.0 0.0 0.0 1.0 0.0	62.0 1842.0 0.0 0.0 0.0 1.0 0.0	190.0 1842.0 0.0 0.0 0.0 1.0 0.0  1
200.0 -2540.0 0.0 0.0 0.0 1.0 0.0	1748.0 -2540.0 0.0 0.0 0.0 1.0 0.0	200.0 -2074.0 0.0 0.0 0.0 1.0 0.0	1748.0 -2074.0 0.0 0.0 0.0 1.0 0.0  1
1220.0 -2074.0 0.0 0.0 0.0 1.0 0.0	1800.0 -2074.0 0.0 0.0 0.0 1.0 0.0	1220.0 -1850.0 0.0 0.0 0.0 1.0 0.0	1800.0 -1850.0 0.0 0.0 0.0 1.0 0.0  1
-2976.0 474.0 0.0 0.0 0.0 1.0 0.0	-2674.0 474.0 0.0 0.0 0.0 1.0 0.0	-2976.0 678.0 0.0 0.0 0.0 1.0 0.0	-2674.0 678.0 0.0 0.0 0.0 1.0 0.0  1
